chr		start	end	strand	pvalue	qvalue	meth.diff
NW_016094241.1	NW_016094241.1.8649343.8649343	8649343	8649343	+	3.49E-11	4.28E-10	-20.60411311
NW_016094241.1	NW_016094241.1.9483072.9483072	9483072	9483072	+	3.87E-27	3.01E-25	-32.99880048
NW_016094241.1	NW_016094241.1.9940887.9940887	9940887	9940887	-	1.16E-13	1.99E-12	-20.93578664
NW_016094241.1	NW_016094241.1.9977253.9977253	9977253	9977253	-	1.48E-08	0.000000123	-28.69073276
NW_016094241.1	NW_016094241.1.11240269.11240269	11240269	11240269	+	1.30E-09	1.28E-08	-21.84187839
NW_016094241.1	NW_016094241.1.11334989.11334989	11334989	11334989	+	0.000004124	2.24E-05	-20.53571429
NW_016094242.1	NW_016094242.1.22218.22218	22218	22218	+	2.46E-12	3.56E-11	-23.29065206
NW_016094242.1	NW_016094242.1.154427.154427	154427	154427	+	7.02E-14	1.24E-12	-32.64014996
NW_016094242.1	NW_016094242.1.154458.154458	154458	154458	+	1.57E-10	1.77E-09	-28.30754805
NW_016094242.1	NW_016094242.1.154499.154499	154499	154499	+	0.000000005	4.52E-08	-24.81116301
NW_016094242.1	NW_016094242.1.1072947.1072947	1072947	1072947	-	1.07E-34	1.86E-32	-39.12110076
NW_016094242.1	NW_016094242.1.1936058.1936058	1936058	1936058	-	1.84E-10	2.05E-09	-26.39337538
NW_016094242.1	NW_016094242.1.1936089.1936089	1936089	1936089	-	1.76E-16	4.18E-15	-31.42015769
NW_016094242.1	NW_016094242.1.1936100.1936100	1936100	1936100	-	1.06E-10	1.21E-09	-23.62248353
NW_016094242.1	NW_016094242.1.2059562.2059562	2059562	2059562	-	5.65E-09	5.05E-08	-25.07463417
NW_016094242.1	NW_016094242.1.2059578.2059578	2059578	2059578	-	1.41E-10	1.60E-09	-28.03519923
NW_016094242.1	NW_016094242.1.2059595.2059595	2059595	2059595	-	7.63E-15	1.49E-13	-31.77861873
NW_016094242.1	NW_016094242.1.2059719.2059719	2059719	2059719	-	1.08E-16	2.62E-15	-20.625
NW_016094242.1	NW_016094242.1.2059738.2059738	2059738	2059738	-	2.90E-12	4.17E-11	-22.04822955
NW_016094242.1	NW_016094242.1.2059761.2059761	2059761	2059761	-	1.08E-11	1.43E-10	-21.32314446
NW_016094242.1	NW_016094242.1.2627802.2627802	2627802	2627802	+	1.57E-09	1.52E-08	-21.91613101
NW_016094242.1	NW_016094242.1.2886630.2886630	2886630	2886630	+	2.35E-09	2.23E-08	-20.59208225
NW_016094242.1	NW_016094242.1.2886643.2886643	2886643	2886643	+	1.40E-10	1.58E-09	-24.21581512
NW_016094242.1	NW_016094242.1.2886698.2886698	2886698	2886698	+	3.94E-08	3.06E-07	-23.8541297
NW_016094242.1	NW_016094242.1.2886701.2886701	2886701	2886701	+	2.97E-23	1.53E-21	-41.68184039
NW_016094242.1	NW_016094242.1.2936436.2936436	2936436	2936436	+	2.68E-16	6.23E-15	-28.19256355
NW_016094242.1	NW_016094242.1.3021955.3021955	3021955	3021955	+	4.04E-33	5.86E-31	-28.40202742
NW_016094242.1	NW_016094242.1.3021983.3021983	3021983	3021983	+	3.66E-12	5.17E-11	-20.8995147
NW_016094242.1	NW_016094242.1.3022026.3022026	3022026	3022026	+	9.80E-19	3.03E-17	-21.35324853
NW_016094242.1	NW_016094242.1.3023509.3023509	3023509	3023509	-	3.10E-09	0.000000029	-22.4330477
NW_016094242.1	NW_016094242.1.3023533.3023533	3023533	3023533	-	5.18E-07	3.33E-06	-20.53324556
NW_016094242.1	NW_016094242.1.3493536.3493536	3493536	3493536	+	3.17E-14	5.86E-13	-25.8558726
NW_016094242.1	NW_016094242.1.3493547.3493547	3493547	3493547	+	4.78E-16	1.08E-14	-25.00870777
NW_016094242.1	NW_016094242.1.3885570.3885570	3885570	3885570	+	1.80E-10	0.000000002	23.05037673
NW_016094242.1	NW_016094242.1.4213869.4213869	4213869	4213869	+	1.28E-30	1.48E-28	-48.84380454
NW_016094242.1	NW_016094242.1.4213891.4213891	4213891	4213891	+	1.92E-17	5.07E-16	-44.05655081
NW_016094242.1	NW_016094242.1.4213895.4213895	4213895	4213895	+	3.91E-16	8.94E-15	-41.42992424
NW_016094242.1	NW_016094242.1.4540889.4540889	4540889	4540889	-	2.06E-33	3.12E-31	-27.50922805
NW_016094242.1	NW_016094242.1.4540946.4540946	4540946	4540946	-	3.24E-22	1.49E-20	-24.32784585
NW_016094242.1	NW_016094242.1.4540963.4540963	4540963	4540963	-	1.37E-46	7.03E-44	-29.37160885
NW_016094242.1	NW_016094242.1.4817902.4817902	4817902	4817902	-	6.24E-08	4.69E-07	-23.40610112
NW_016094242.1	NW_016094242.1.5624217.5624217	5624217	5624217	+	8.30E-14	1.45E-12	-20.50903927
NW_016094242.1	NW_016094242.1.5994877.5994877	5994877	5994877	-	3.65E-08	0.000000286	25.66662705
NW_016094242.1	NW_016094242.1.6027643.6027643	6027643	6027643	-	1.34E-08	1.13E-07	22.54938425
NW_016094242.1	NW_016094242.1.7415713.7415713	7415713	7415713	-	2.12E-28	1.92E-26	-34.33844953
NW_016094242.1	NW_016094242.1.7872291.7872291	7872291	7872291	+	4.80E-16	1.09E-14	-35.64126455
NW_016094242.1	NW_016094242.1.7872309.7872309	7872309	7872309	+	1.30E-17	3.50E-16	-37.81512605
NW_016094242.1	NW_016094242.1.7872313.7872313	7872313	7872313	+	1.99E-15	4.19E-14	-34.84261501
NW_016094242.1	NW_016094242.1.7872319.7872319	7872319	7872319	+	2.73E-15	5.60E-14	-35.14285714
NW_016094242.1	NW_016094242.1.8621545.8621545	8621545	8621545	-	2.54E-23	1.32E-21	-22.02655749
NW_016094242.1	NW_016094242.1.8628347.8628347	8628347	8628347	-	8.08E-16	1.77E-14	37.20080249
NW_016094242.1	NW_016094242.1.9035994.9035994	9035994	9035994	+	1.09E-24	6.66E-23	35.56457066
NW_016094242.1	NW_016094242.1.9036067.9036067	9036067	9036067	+	1.89E-26	1.38E-24	38.61424679
NW_016094242.1	NW_016094242.1.9878717.9878717	9878717	9878717	+	0.000000034	2.68E-07	-23.84405212
NW_016094243.1	NW_016094243.1.2216356.2216356	2216356	2216356	+	1.85E-65	4.47E-62	-31.28583521
NW_016094243.1	NW_016094243.1.3135764.3135764	3135764	3135764	+	8.07E-17	1.97E-15	-39.99861636
NW_016094243.1	NW_016094243.1.3135825.3135825	3135825	3135825	+	0.000004631	2.48E-05	-22.85876347
NW_016094243.1	NW_016094243.1.3622387.3622387	3622387	3622387	-	2.41E-08	1.94E-07	-21.74821448
NW_016094243.1	NW_016094243.1.3622477.3622477	3622477	3622477	+	1.98E-08	1.62E-07	-20.57192217
NW_016094243.1	NW_016094243.1.5479375.5479375	5479375	5479375	+	2.66E-08	2.12E-07	-22.89685774
NW_016094243.1	NW_016094243.1.7777676.7777676	7777676	7777676	-	6.31E-16	1.40E-14	-28.52291729
NW_016094243.1	NW_016094243.1.7847846.7847846	7847846	7847846	-	1.03E-52	9.15E-50	-39.82108718
NW_016094243.1	NW_016094243.1.7847876.7847876	7847876	7847876	-	1.01E-40	2.89E-38	-32.63085239
NW_016094243.1	NW_016094243.1.7847888.7847888	7847888	7847888	-	1.23E-35	2.38E-33	-30.33431289
NW_016094243.1	NW_016094243.1.7847893.7847893	7847893	7847893	-	9.03E-38	2.13E-35	-32.01798267
NW_016094243.1	NW_016094243.1.7847912.7847912	7847912	7847912	-	6.68E-41	2.01E-38	-32.19473903
NW_016094243.1	NW_016094243.1.7888453.7888453	7888453	7888453	+	6.81E-12	9.25E-11	-32.12018044
NW_016094243.1	NW_016094243.1.8066314.8066314	8066314	8066314	-	7.19E-13	1.12E-11	-20.20911233
NW_016094243.1	NW_016094243.1.8066337.8066337	8066337	8066337	-	5.09E-23	2.55E-21	-22.78484591
NW_016094243.1	NW_016094243.1.8173577.8173577	8173577	8173577	+	3.90E-12	5.47E-11	-22.04758684
NW_016094243.1	NW_016094243.1.8173618.8173618	8173618	8173618	+	7.59E-11	8.88E-10	-22.29980408
NW_016094243.1	NW_016094243.1.8790928.8790928	8790928	8790928	-	5.43E-08	4.13E-07	-24.70025643
NW_016094244.1	NW_016094244.1.37908.37908	37908	37908	-	6.54E-18	1.83E-16	-25.98128513
NW_016094244.1	NW_016094244.1.37914.37914	37914	37914	-	5.53E-16	1.24E-14	-23.95434274
NW_016094244.1	NW_016094244.1.37919.37919	37919	37919	-	1.92E-18	5.71E-17	-24.29602888
NW_016094244.1	NW_016094244.1.124408.124408	124408	124408	-	5.36E-22	2.38E-20	-27.22328959
NW_016094244.1	NW_016094244.1.124471.124471	124471	124471	-	4.25E-28	3.75E-26	-27.12053946
NW_016094244.1	NW_016094244.1.329852.329852	329852	329852	-	0.000000038	2.97E-07	-21.21710526
NW_016094244.1	NW_016094244.1.427919.427919	427919	427919	+	1.35E-08	0.000000113	-22.31404959
NW_016094244.1	NW_016094244.1.427943.427943	427943	427943	+	3.18E-11	3.92E-10	-27.91276152
NW_016094244.1	NW_016094244.1.427947.427947	427947	427947	+	1.62E-08	1.34E-07	-23.47917428
NW_016094244.1	NW_016094244.1.1229837.1229837	1229837	1229837	-	4.90E-11	5.87E-10	-25.30188975
NW_016094244.1	NW_016094244.1.2561642.2561642	2561642	2561642	+	3.29E-22	1.51E-20	-24.16539246
NW_016094244.1	NW_016094244.1.3562255.3562255	3562255	3562255	+	2.78E-12	4.00E-11	-26.81069959
NW_016094244.1	NW_016094244.1.4114216.4114216	4114216	4114216	+	2.35E-33	3.52E-31	-25.17591086
NW_016094244.1	NW_016094244.1.4114245.4114245	4114245	4114245	+	7.22E-28	6.13E-26	-27.8413371
NW_016094244.1	NW_016094244.1.4114269.4114269	4114269	4114269	+	4.38E-17	1.10E-15	-21.40859431
NW_016094244.1	NW_016094244.1.4114272.4114272	4114272	4114272	+	3.96E-25	2.52E-23	-22.29250975
NW_016094244.1	NW_016094244.1.4247058.4247058	4247058	4247058	+	3.09E-27	2.42E-25	-34.33783399
NW_016094244.1	NW_016094244.1.4488638.4488638	4488638	4488638	+	1.87E-08	1.53E-07	-22.21466863
NW_016094244.1	NW_016094244.1.4540012.4540012	4540012	4540012	-	2.04E-06	0.000011801	21.12952621
NW_016094244.1	NW_016094244.1.5838352.5838352	5838352	5838352	+	5.31E-10	5.55E-09	-22.2805529
NW_016094244.1	NW_016094244.1.6284865.6284865	6284865	6284865	-	5.82E-22	2.58E-20	-27.09618813
NW_016094244.1	NW_016094244.1.6284868.6284868	6284868	6284868	-	6.29E-14	1.11E-12	-27.87763507
NW_016094244.1	NW_016094244.1.6284890.6284890	6284890	6284890	-	8.25E-18	2.28E-16	-26.38625289
NW_016094244.1	NW_016094244.1.6305936.6305936	6305936	6305936	-	1.58E-15	3.35E-14	-22.82347282
NW_016094244.1	NW_016094244.1.6546379.6546379	6546379	6546379	-	4.02E-12	5.64E-11	-28.12371261
NW_016094244.1	NW_016094244.1.6660181.6660181	6660181	6660181	+	1.08E-24	6.66E-23	-24.78604111
NW_016094244.1	NW_016094244.1.6660196.6660196	6660196	6660196	+	3.56E-19	1.15E-17	-26.65238476
NW_016094244.1	NW_016094244.1.6660200.6660200	6660200	6660200	+	4.09E-21	1.65E-19	-23.30437398
NW_016094244.1	NW_016094244.1.6660235.6660235	6660235	6660235	+	4.28E-08	0.000000331	-22.77156024
NW_016094244.1	NW_016094244.1.7465203.7465203	7465203	7465203	-	1.31E-08	1.11E-07	-20.83322973
NW_016094244.1	NW_016094244.1.7465232.7465232	7465232	7465232	-	4.15E-16	9.45E-15	-30.25533763
NW_016094244.1	NW_016094244.1.7583294.7583294	7583294	7583294	-	2.76E-17	7.15E-16	-31.51910579
NW_016094244.1	NW_016094244.1.8858261.8858261	8858261	8858261	-	2.28E-20	8.56E-19	-27.22954038
NW_016094245.1	NW_016094245.1.1649588.1649588	1649588	1649588	+	9.24E-17	2.25E-15	21.96863214
NW_016094245.1	NW_016094245.1.1649611.1649611	1649611	1649611	+	7.67E-26	5.30E-24	29.69519954
NW_016094245.1	NW_016094245.1.4008683.4008683	4008683	4008683	+	2.99E-20	1.10E-18	-33.32523283
NW_016094245.1	NW_016094245.1.4008721.4008721	4008721	4008721	+	3.03E-32	4.08E-30	-47.89113481
NW_016094245.1	NW_016094245.1.4008734.4008734	4008734	4008734	+	2.61E-21	1.07E-19	-39.30913491
NW_016094245.1	NW_016094245.1.4008757.4008757	4008757	4008757	+	9.91E-30	1.07E-27	-41.77972251
NW_016094245.1	NW_016094245.1.5088588.5088588	5088588	5088588	-	1.56E-07	1.10E-06	22.0657277
NW_016094245.1	NW_016094245.1.6657298.6657298	6657298	6657298	-	3.83E-11	4.67E-10	-24.90227593
NW_016094245.1	NW_016094245.1.6657318.6657318	6657318	6657318	-	2.22E-08	1.80E-07	-20.72170585
NW_016094245.1	NW_016094245.1.6657416.6657416	6657416	6657416	-	5.36E-11	6.40E-10	-21.69008207
NW_016094245.1	NW_016094245.1.6847658.6847658	6847658	6847658	+	3.95E-07	2.59E-06	-22.62872629
NW_016094245.1	NW_016094245.1.7177357.7177357	7177357	7177357	-	2.57E-25	1.67E-23	-28.61494155
NW_016094245.1	NW_016094245.1.7186692.7186692	7186692	7186692	+	1.10E-19	3.77E-18	-24.12870114
NW_016094245.1	NW_016094245.1.7186755.7186755	7186755	7186755	+	3.15E-15	6.41E-14	-22.69927166
NW_016094245.1	NW_016094245.1.7186763.7186763	7186763	7186763	+	4.02E-19	1.30E-17	-24.74230048
NW_016094245.1	NW_016094245.1.7187513.7187513	7187513	7187513	-	6.01E-24	3.39E-22	-20.64064647
NW_016094245.1	NW_016094245.1.8532640.8532640	8532640	8532640	+	2.28E-19	7.56E-18	-43.42682351
NW_016094245.1	NW_016094245.1.8532676.8532676	8532676	8532676	+	7.41E-14	1.30E-12	-38.29079207
NW_016094246.1	NW_016094246.1.287745.287745	287745	287745	+	1.31E-09	1.29E-08	-23.27763561
NW_016094246.1	NW_016094246.1.1992139.1992139	1992139	1992139	-	1.45E-36	3.07E-34	-49.89873641
NW_016094246.1	NW_016094246.1.1992161.1992161	1992161	1992161	-	3.75E-31	4.52E-29	-45.98140877
NW_016094246.1	NW_016094246.1.2611625.2611625	2611625	2611625	+	6.97E-13	1.08E-11	-22.46155271
NW_016094246.1	NW_016094246.1.3748968.3748968	3748968	3748968	-	4.96E-10	5.21E-09	-22.67929833
NW_016094246.1	NW_016094246.1.3748986.3748986	3748986	3748986	-	1.26E-20	4.80E-19	-34.34015679
NW_016094246.1	NW_016094246.1.3749006.3749006	3749006	3749006	-	5.76E-09	5.14E-08	-20.09461348
NW_016094246.1	NW_016094246.1.3749015.3749015	3749015	3749015	-	5.57E-21	2.22E-19	-31.22222222
NW_016094246.1	NW_016094246.1.3786711.3786711	3786711	3786711	+	1.07E-20	4.12E-19	-33.80482456
NW_016094246.1	NW_016094246.1.4172292.4172292	4172292	4172292	-	7.00E-11	8.23E-10	-23.25401295
NW_016094246.1	NW_016094246.1.4433779.4433779	4433779	4433779	+	3.00E-41	9.27E-39	-31.34054727
NW_016094246.1	NW_016094246.1.5098197.5098197	5098197	5098197	-	1.05E-32	1.46E-30	-38.47079214
NW_016094246.1	NW_016094246.1.5098230.5098230	5098230	5098230	-	7.86E-37	1.71E-34	-41.41112777
NW_016094246.1	NW_016094246.1.5098265.5098265	5098265	5098265	-	2.17E-33	3.28E-31	-38.27309158
NW_016094246.1	NW_016094246.1.7541525.7541525	7541525	7541525	-	4.94E-09	4.47E-08	-24.35862952
NW_016094246.1	NW_016094246.1.7572589.7572589	7572589	7572589	+	5.88E-11	6.98E-10	-20.78438441
NW_016094246.1	NW_016094246.1.8017186.8017186	8017186	8017186	-	1.07E-15	2.32E-14	-25.23671096
NW_016094247.1	NW_016094247.1.168359.168359	168359	168359	+	5.05E-08	3.85E-07	-28.13493187
NW_016094247.1	NW_016094247.1.1833684.1833684	1833684	1833684	-	2.06E-08	1.67E-07	-21.66760603
NW_016094247.1	NW_016094247.1.1833715.1833715	1833715	1833715	-	3.10E-12	4.43E-11	-21.76924396
NW_016094247.1	NW_016094247.1.1982216.1982216	1982216	1982216	+	4.01E-06	2.18E-05	20.34700315
NW_016094247.1	NW_016094247.1.2281014.2281014	2281014	2281014	-	1.91E-08	1.56E-07	-20.7079646
NW_016094247.1	NW_016094247.1.2300783.2300783	2300783	2300783	-	3.94E-09	3.62E-08	-25.42711386
NW_016094247.1	NW_016094247.1.2300852.2300852	2300852	2300852	-	7.50E-09	6.56E-08	-24.66666667
NW_016094247.1	NW_016094247.1.2618902.2618902	2618902	2618902	-	5.98E-06	3.14E-05	-23.2851711
NW_016094247.1	NW_016094247.1.2618932.2618932	2618932	2618932	-	2.50E-09	2.37E-08	-27.10235353
NW_016094247.1	NW_016094247.1.2619057.2619057	2619057	2619057	-	4.08E-17	1.03E-15	-34.10938237
NW_016094247.1	NW_016094247.1.2997110.2997110	2997110	2997110	+	1.17E-10	1.34E-09	-20.30366614
NW_016094247.1	NW_016094247.1.3598745.3598745	3598745	3598745	-	1.40E-13	2.39E-12	-22.21052632
NW_016094247.1	NW_016094247.1.3598772.3598772	3598772	3598772	-	1.49E-13	2.52E-12	-20.42735043
NW_016094247.1	NW_016094247.1.3598802.3598802	3598802	3598802	-	6.37E-10	6.57E-09	-20.51865086
NW_016094247.1	NW_016094247.1.3598813.3598813	3598813	3598813	-	1.39E-23	7.42E-22	-23.06663269
NW_016094247.1	NW_016094247.1.3862852.3862852	3862852	3862852	-	1.28E-27	1.04E-25	-24.09403436
NW_016094247.1	NW_016094247.1.4325509.4325509	4325509	4325509	+	6.29E-20	2.22E-18	-38.03815282
NW_016094247.1	NW_016094247.1.4325576.4325576	4325576	4325576	+	2.20E-18	6.47E-17	-39.85252917
NW_016094247.1	NW_016094247.1.5008070.5008070	5008070	5008070	+	1.28E-34	2.18E-32	-27.64838369
NW_016094247.1	NW_016094247.1.5008091.5008091	5008091	5008091	+	2.21E-51	1.72E-48	-29.41836274
NW_016094247.1	NW_016094247.1.5008113.5008113	5008113	5008113	+	5.70E-24	3.24E-22	-23.83674157
NW_016094247.1	NW_016094247.1.6318517.6318517	6318517	6318517	-	1.52E-09	1.48E-08	20.47816405
NW_016094248.1	NW_016094248.1.763291.763291	763291	763291	-	1.31E-16	3.14E-15	-23.12374547
NW_016094248.1	NW_016094248.1.1049469.1049469	1049469	1049469	-	4.30E-14	7.82E-13	21.30071942
NW_016094248.1	NW_016094248.1.1049496.1049496	1049496	1049496	-	2.41E-18	7.07E-17	24.0662759
NW_016094248.1	NW_016094248.1.1049501.1049501	1049501	1049501	-	1.62E-19	5.45E-18	22.60284626
NW_016094248.1	NW_016094248.1.1049530.1049530	1049530	1049530	-	3.13E-13	5.07E-12	20.99483903
NW_016094248.1	NW_016094248.1.1236140.1236140	1236140	1236140	-	1.33E-33	2.04E-31	-35.50661883
NW_016094248.1	NW_016094248.1.1733632.1733632	1733632	1733632	+	3.47E-11	4.26E-10	-25.40583831
NW_016094248.1	NW_016094248.1.1733703.1733703	1733703	1733703	+	2.88E-09	2.71E-08	-22.89204056
NW_016094248.1	NW_016094248.1.2434138.2434138	2434138	2434138	+	2.34E-25	1.53E-23	-32.73249739
NW_016094248.1	NW_016094248.1.2434177.2434177	2434177	2434177	+	2.06E-21	8.53E-20	-28.18396226
NW_016094248.1	NW_016094248.1.2434211.2434211	2434211	2434211	+	1.08E-27	8.92E-26	-33.0767841
NW_016094248.1	NW_016094248.1.2973141.2973141	2973141	2973141	-	5.14E-29	4.96E-27	-41.93581781
NW_016094248.1	NW_016094248.1.2973164.2973164	2973164	2973164	-	1.27E-31	1.60E-29	-26.97865233
NW_016094248.1	NW_016094248.1.2973195.2973195	2973195	2973195	-	3.24E-24	1.90E-22	-22.42134063
NW_016094248.1	NW_016094248.1.3812113.3812113	3812113	3812113	-	7.32E-11	8.59E-10	-22.12874782
NW_016094248.1	NW_016094248.1.4367477.4367477	4367477	4367477	-	1.55E-23	8.21E-22	-29.85794638
NW_016094248.1	NW_016094248.1.4766258.4766258	4766258	4766258	+	7.59E-11	8.88E-10	-23.4743266
NW_016094248.1	NW_016094248.1.4766274.4766274	4766274	4766274	+	4.69E-07	3.04E-06	-22.93857222
NW_016094248.1	NW_016094248.1.4766316.4766316	4766316	4766316	+	0.000003166	1.76E-05	-22.86332658
NW_016094248.1	NW_016094248.1.5065576.5065576	5065576	5065576	-	1.30E-25	8.76E-24	-43.89849816
NW_016094248.1	NW_016094248.1.6283704.6283704	6283704	6283704	-	6.77E-07	4.25E-06	21.93275247
NW_016094248.1	NW_016094248.1.6478265.6478265	6478265	6478265	-	3.36E-18	9.72E-17	-33.25981075
NW_016094248.1	NW_016094248.1.6478283.6478283	6478283	6478283	-	3.04E-24	1.79E-22	-38.79504505
NW_016094249.1	NW_016094249.1.605555.605555	605555	605555	-	1.74E-32	2.39E-30	-29.07810535
NW_016094249.1	NW_016094249.1.605572.605572	605572	605572	-	3.84E-58	5.14E-55	-36.91215078
NW_016094249.1	NW_016094249.1.605575.605575	605575	605575	-	4.58E-43	1.67E-40	-32.38291727
NW_016094249.1	NW_016094249.1.605597.605597	605597	605597	-	4.90E-70	1.31E-66	-41.04829066
NW_016094249.1	NW_016094249.1.1230589.1230589	1230589	1230589	+	2.81E-10	0.000000003	-23.39856251
NW_016094249.1	NW_016094249.1.1351770.1351770	1351770	1351770	+	3.17E-08	2.51E-07	-20.55023923
NW_016094249.1	NW_016094249.1.1351780.1351780	1351780	1351780	+	2.67E-11	3.33E-10	-23.01978527
NW_016094249.1	NW_016094249.1.2578044.2578044	2578044	2578044	-	1.65E-07	1.16E-06	-25.05460005
NW_016094249.1	NW_016094249.1.2588627.2588627	2588627	2588627	+	3.66E-11	4.48E-10	21.39208174
NW_016094249.1	NW_016094249.1.2704958.2704958	2704958	2704958	-	1.21E-06	7.25E-06	20.42558614
NW_016094249.1	NW_016094249.1.3550913.3550913	3550913	3550913	-	8.87E-23	4.34E-21	-34.228474
NW_016094249.1	NW_016094249.1.3550964.3550964	3550964	3550964	+	1.17E-23	6.28E-22	-24.27114249
NW_016094249.1	NW_016094249.1.3550975.3550975	3550975	3550975	+	5.94E-13	9.32E-12	-20.47549851
NW_016094249.1	NW_016094249.1.3551022.3551022	3551022	3551022	+	6.30E-11	7.44E-10	-21.63007717
NW_016094249.1	NW_016094249.1.4276864.4276864	4276864	4276864	+	0.000005395	0.000028589	-20.39189499
NW_016094249.1	NW_016094249.1.5533561.5533561	5533561	5533561	-	1.97E-13	3.28E-12	-34.93848326
NW_016094249.1	NW_016094249.1.5690299.5690299	5690299	5690299	+	2.73E-15	5.60E-14	-42.28830645
NW_016094249.1	NW_016094249.1.5690326.5690326	5690326	5690326	+	3.47E-09	3.22E-08	-30.26920152
NW_016094249.1	NW_016094249.1.5690329.5690329	5690329	5690329	+	0.000000076	5.63E-07	-26.74034553
NW_016094249.1	NW_016094249.1.6433397.6433397	6433397	6433397	+	2.16E-21	8.91E-20	-29.88283373
NW_016094249.1	NW_016094249.1.6433412.6433412	6433412	6433412	+	7.12E-18	1.98E-16	-31.00468506
NW_016094250.1	NW_016094250.1.2531318.2531318	2531318	2531318	+	1.18E-17	3.20E-16	-22.18887064
